1,"Finished"
2,"Disqualified"
3,"Accident"
4,"Collision"
5,"Engine"
6,"Gearbox"
9,"Hydraulics"
10,"Electrical"
11,"+1 Lap"
12,"+2 Laps"
13,"+3 Laps"
22,"Suspension"
23,"Brakes"
25,"Overheating"
26,"Mechanical"
27,"Tyre"
29,"Puncture"
31,"Retired"
32,"Fuel pressure"
36,"Wheel"
38,"Steering"
43,"Exhaust"
44,"Oil leak"
75,"Power loss"
84,"Battery"
101,"Turbo"
130,"Collision damage"
131,"Power Unit"
